Age,Suspect,Victim
5,35.0,270.0
6,40.0,242.0
7,30.0,271.0
8,36.0,244.0
9,37.0,257.0
10,47.0,275.0
11,86.0,300.0
12,134.0,383.0
13,329.0,646.0
14,759.0,1107.0
15,1500.0,1810.0
16,2640.0,2796.0
17,4302.0,3900.0
18,6496.0,4514.0
19,6539.0,4994.0
20,5817.0,4922.0
21,5651.0,4796.0
22,5519.0,4674.0
23,5186.0,4683.0
24,5030.0,4591.0
25,4569.0,4362.0
26,4193.0,3911.0
27,3898.0,3561.0
28,3451.0,3266.0
29,3257.0,2978.0
30,3010.0,2790.0
31,2740.0,2549.0
32,2671.0,2488.0
33,2404.0,2333.0
34,2356.0,2215.0
35,2292.0,2095.0
36,1932.0,1853.0
37,1857.0,1799.0
38,1678.0,1575.0
39,1404.0,1399.0
40,1370.0,1408.0
41,1179.0,1202.0
42,1108.0,1086.0
43,1046.0,1119.0
44,974.0,1059.0
45,980.0,994.0
46,881.0,877.0
47,835.0,856.0
48,833.0,866.0
49,736.0,796.0
50,708.0,824.0
51,658.0,728.0
52,652.0,716.0
53,672.0,673.0
54,597.0,617.0
55,569.0,648.0
56,479.0,560.0
57,437.0,517.0
58,424.0,467.0
59,431.0,417.0
60,334.0,477.0
61,319.0,386.0
62,269.0,363.0
63,253.0,317.0
64,233.0,252.0
65,203.0,272.0
66,165.0,228.0
67,156.0,241.0
68,158.0,227.0
69,129.0,183.0
70,132.0,183.0
